;Cost/benefit;50% avg. risk;33% avg. risk;20% avg. risk;50% ind. risk;33% ind. risk;20% ind. risk
adversary gain = publisher loss;Value;Value;Value;Value;Value;Value;Value
0.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
250.0;0.8670188262031264;0.8227499298410362;0.8112999838175708;0.7599846136140667;0.7244261168887512;0.6850208470747022;0.6450458780942746
500.0;0.7435937299146395;0.7435937299146395;0.7435937299146395;0.723361045541832;0.7000396109064853;0.6685713628410922;0.6350326209256781
750.0;0.6869103730179782;0.6869103730179782;0.6869103730179782;0.6869103730179782;0.6767947781310781;0.6555637258930048;0.6252944883949408
1000.0;0.6535499453556718;0.6507282840157971;0.6507282840157971;0.6507282840157971;0.6535499453556718;0.6425944784292701;0.6155947453485562
1250.0;0.6359983365439223;0.6249505925077464;0.6249505925077464;0.6249505925077464;0.6359983365439223;0.6296252309655355;0.6059449684951133
1500.0;0.6199387355898156;0.6014434315892652;0.6014434315892652;0.6014434315892652;0.6199387355898156;0.6166559835018006;0.5980047434815489
1750.0;0.6040443034325425;0.5821165789864723;0.5821165789864723;0.5821165789864723;0.6038791346357091;0.603686736038066;0.5900645184679847
2000.0;0.5908190912714206;0.5644830091739151;0.5644830091739151;0.5644830091739151;0.5879469736148605;0.5908190912714206;0.5821242934544205
