Attributes;Records;Time-0;Time-250;Time-500;Time-750;Time-1000;Time-1250;Time-1500;Time-1750;Time-2000
Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
4.0;2000.0;0.004056059250000001;0.00591448362;0.009250953020000001;0.011251887720000003;0.01147961826;0.01182480847;0.012220105900000005;0.01210325715;0.012313190229999996
4.0;4000.0;0.0031406275000000006;0.007991727639999998;0.015030719789999996;0.01836533171;0.018778197179999997;0.020464996080000002;0.02086022589;0.020840306589999996;0.02097164037
4.0;6000.0;0.00433039387;0.012149739679999999;0.02064313214;0.02486508737;0.025368154309999995;0.026218753129999994;0.027386898449999995;0.02748550397999999;0.027472726369999995
4.0;8000.0;0.005246169180000002;0.01423194246;0.025674986589999987;0.03025015675000001;0.030889397239999995;0.031938077960000005;0.033235235580000015;0.03328843624000001;0.03361569956000001
4.0;10000.0;0.00673647685;0.017317595000000005;0.030571040549999998;0.03559328528999999;0.03633547924;0.03754003267000001;0.03824199721000001;0.03886698079000001;0.03905487884
4.0;12000.0;0.007323221679999997;0.017650002569999997;0.035474887319999995;0.04114161868999999;0.041929626130000015;0.04314273337;0.04387143105999999;0.04474840263;0.044715403890000005
4.0;14000.0;0.008445168510000002;0.02025006900000001;0.040049097670000006;0.04563385357000001;0.046703966269999994;0.04841068252;0.049246739130000015;0.05001525397000001;0.05015158226999999
4.0;16000.0;0.009616324380000003;0.02255274766;0.04356438201000002;0.049553323910000016;0.05044026214;0.05194185531999999;0.05339286073999998;0.05339631842;0.05358474605000001
4.0;18000.0;0.010723909169999999;0.02505164989;0.04684696896000001;0.05339921610000002;0.05436262938999999;0.05581695893000002;0.057482263950000015;0.05750188518999999;0.0576192912
4.0;20000.0;0.011666246769999996;0.034445055599999996;0.05131979799;0.05818186498999999;0.06001650722000002;0.060884962669999994;0.06253203814000004;0.06276238349000002;0.06305823489000001
4.0;22000.0;0.012693994969999997;0.03524416323000001;0.05511691883999998;0.062499706659999994;0.06453440929;0.06570224763000002;0.06706958609999998;0.06713355199999996;0.06726093558000003
4.0;24000.0;0.013736487440000004;0.04038217510999998;0.05895335360999999;0.06538512319;0.0684614278;0.07008406787999999;0.07108699660000001;0.07131974504;0.07165549693
4.0;26000.0;0.015071703980000004;0.04355310245;0.06239392833000001;0.06877074349;0.07230675290000003;0.07352225414;0.07502408708;0.07493858648999999;0.07519385609
4.0;28000.0;0.01579276046;0.04624102431000001;0.06466593067;0.07103183131000003;0.07347807851999999;0.07605058842999998;0.07791408446;0.07805453639000003;0.07821841702999996
4.0;30000.0;0.017049343789999994;0.04949404942999999;0.06817561745999999;0.07474084991999998;0.07731916403;0.07948755423000002;0.08161763349000001;0.08161719956999999;0.08194468989999998
1.0;30000.0;0.0016602550199999995;0.0016804343599999996;0.0017705790700000008;0.0017337427900000002;0.0017290231899999996;0.0017701773300000001;0.0016904934400000001;0.0016969083300000006;0.0016958814800000007
2.0;30000.0;0.0019703903600000005;0.0019647797199999996;0.0019679030799999997;0.0019669533500000004;0.0019837402699999997;0.001959829;0.001957978800000002;0.00196307976;0.0019549137399999996
3.0;30000.0;0.011795083680000006;0.011728770699999995;0.01813034496;0.019814830909999998;0.01990574799000001;0.020148736030000006;0.02039416976;0.02058951796;0.02048918938000001
4.0;30000.0;0.016789247340000008;0.049084939089999995;0.06830313640999996;0.07468184559000002;0.07715634838999998;0.07975321475000001;0.08168632654999998;0.0817485917;0.08203971342
