;;;;Cost/benefit;50% avg. risk;33% avg. risk;20% avg. risk;50% ind. risk;33% ind. risk;20% ind. risk
adversary cost;adversary gain;publisher loss;publisher benefit;Value;Value;Value;Value;Value;Value;Value
1.0;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
1.01;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
1.1;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
2.0;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7526317477110946;0.7187291174108484;0.6814851755658421;0.643045785959512
6.0;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977664109338547;0.7529542193796551;0.7190116940734643;0.6818076472344027;0.6435755608435758
8.0;300.0;300.0;1200.0;0.8404225914437518;0.8024214182269445;0.7977971225213367;0.7532613352544747;0.7193188099482839;0.6821147631092221;0.6442665715619198
10.0;300.0;300.0;1200.0;0.8404225914437518;0.8024214182269445;0.7978585456963005;0.7538448554166322;0.7199023301104411;0.6826982832713792;0.6451034623208032
12.0;300.0;300.0;1200.0;0.8404225914437518;0.8024214182269445;0.7980274594274513;0.7544667650631417;0.7205242397569509;0.6833201929178889;0.6456485929986079
14.0;300.0;300.0;1200.0;0.8404302693406223;0.802444451917556;0.7983268974054003;0.754958150462853;0.7210156251566622;0.6838115783176002;0.6460017762546504
16.0;300.0;300.0;1200.0;0.8404302693406223;0.8024674856081675;0.7986647248677019;0.7556798727686789;0.7217373474624882;0.6845333006234261;0.6464624500668797
18.0;300.0;300.0;1200.0;0.8404302693406223;0.8024981971956495;0.7990562976080967;0.7562557150339656;0.7223131897277748;0.6851091428887128;0.6469615133634615
20.0;300.0;300.0;1200.0;0.8404533030312337;0.8025365866800019;0.799563038801549;0.7569774373397916;0.7230349120336008;0.6858308651945387;0.6474759324537843
50.0;300.0;300.0;1200.0;0.8428104173704739;0.8094061025895174;0.8094061025895174;0.7646476563134105;0.7316740515344929;0.6935087620650283;0.6529195613349611
100.0;300.0;300.0;1200.0;0.8608150855317711;0.8309294493070614;0.8264279999513929;0.7759092028852582;0.7436592485493266;0.7023536992598319;0.654393717534095
150.0;300.0;300.0;1200.0;0.8908740517797364;0.855421940323918;0.840739599717985;0.7851226791298452;0.7528727247939139;0.7023536992598319;0.654393717534095
200.0;300.0;300.0;1200.0;0.8908740517797364;0.855421940323918;0.840739599717985;0.7851226791298452;0.7528727247939139;0.7023536992598319;0.654393717534095
250.0;300.0;300.0;1200.0;0.8908740517797364;0.855421940323918;0.840739599717985;0.7851226791298452;0.7528727247939139;0.7023536992598319;0.654393717534095
300.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
350.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
400.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
450.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
500.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
750.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
1000.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
1250.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
1500.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
1750.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
2000.0;300.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;1.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;1.01;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;1.1;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;2.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;4.0;300.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;6.0;300.0;1200.0;0.8908740517797364;0.855421940323918;0.840739599717985;0.7851226791298452;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;8.0;300.0;1200.0;0.8908740517797364;0.855421940323918;0.840739599717985;0.7851226791298452;0.7528727247939139;0.7023536992598319;0.654393717534095
4.0;10.0;300.0;1200.0;0.8608150855317711;0.8309294493070614;0.8264279999513929;0.7759092028852582;0.7436592485493266;0.7023536992598319;0.654393717534095
4.0;12.0;300.0;1200.0;0.8608150855317711;0.8309294493070614;0.8264279999513929;0.7759092028852582;0.7436592485493266;0.7023536992598319;0.654393717534095
4.0;14.0;300.0;1200.0;0.8499969288412518;0.8185142900674813;0.818059092362559;0.770319693963542;0.7380697396276106;0.6983074476090841;0.654393717534095
4.0;16.0;300.0;1200.0;0.8499969288412518;0.8185142900674813;0.818059092362559;0.770319693963542;0.7380697396276106;0.6983074476090841;0.654393717534095
4.0;18.0;300.0;1200.0;0.8451752096065845;0.8130300699123882;0.8130300699123882;0.7665037792189088;0.7342538248829773;0.6953591352108163;0.654393717534095
4.0;20.0;300.0;1200.0;0.8451752096065845;0.8130300699123882;0.8130300699123882;0.7665037792189088;0.7342538248829773;0.6953591352108163;0.654393717534095
4.0;50.0;300.0;1200.0;0.8404840146187157;0.8026287214424478;0.8003001169011159;0.7579832418298256;0.724040716523635;0.686836669684573;0.6481822989658693
4.0;100.0;300.0;1200.0;0.8404225914437518;0.8024214182269445;0.7980274594274513;0.7544667650631417;0.7205242397569509;0.6833201929178889;0.6456485929986079
4.0;150.0;300.0;1200.0;0.8404225914437518;0.8024214182269445;0.7977971225213367;0.7532613352544747;0.7193188099482839;0.6821147631092221;0.6442665715619198
4.0;200.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977664109338547;0.7529542193796551;0.7190116940734643;0.6818076472344027;0.6435755608435758
4.0;250.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7527008487829291;0.7187583234767382;0.6815542766376765;0.6431763102063104
4.0;300.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7526317477110946;0.7187291174108484;0.6814851755658421;0.643045785959512
4.0;350.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525933582267422;0.7187291174108484;0.6814467860814897;0.6428845501252317
4.0;400.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187291174108484;0.6814314302877487;0.6428154490533974
4.0;450.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427924153627859
4.0;500.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427770595690449
4.0;750.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;1000.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;1250.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;1500.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;1750.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;2000.0;300.0;1200.0;0.8404225914437518;0.8024137403300741;0.7977587330369842;0.7525780024330012;0.7187214395139779;0.6814314302877487;0.6427540258784334
4.0;300.0;0.0;1200.0;1.0;0.9244308773959584;0.8790062377205078;0.7994266009995665;0.7528727247939139;0.7023536992598319;0.654393717534095
